IPC Section,Category,Query1,Query2,Query3,Query4,Query5,Query6,Query7,Query8,Query9,Query10
333,Offences Affecting the Human Body – Of Hurt,A revenue officer was hospitalized after being assaulted during duty—what law applies?,I lost vision due to attack while performing official duties—what IPC applies?,Is grievous hurt to a public officer punishable severely?,Can IPC 333 be applied for injuries during election duty?,My father (forest officer) was hurt by timber mafia—what law helps?,What’s the difference between IPC 332 and 333?,I was injured while enforcing quarantine rules—can IPC 333 apply?,Is there protection for healthcare staff under IPC 333?,A tax inspector was assaulted by businessmen—what law applies?,Does IPC 333 require medical proof of grievous injury?
334,Offences Affecting the Human Body – Of Hurt,I hit someone after they insulted my mother—what IPC applies?,"A fight broke out suddenly, and I slapped someone—can I be jailed?",Is there a light punishment for reacting in sudden anger?,I lost control and hit my neighbor during a heated argument—legal steps?,Will IPC 334 apply if the act was not preplanned?,Can I use provocation as a defense in physical assault?,"Someone pushed me, and I reacted physically—will it be bailable?",Is IPC 334 applicable if both parties fought?,Is ₹500 the only fine under this IPC?,Does IPC 334 need a medical report for hurt?
335,Offences Affecting the Human Body – Of Hurt,I fractured someone's hand during a sudden quarrel—what IPC is it?,Will provocation reduce punishment for serious injury?,"Can IPC 335 protect me if I acted in anger, not intent?",I injured someone seriously after they provoked me—what legal action?,Is imprisonment mandatory under IPC 335?,Is this section bailable even for broken bones?,Does IPC 335 apply to fights in public places?,What if grievous hurt happens unintentionally after provocation?,Is ₹2000 fine final or can court increase it?,Can IPC 335 be used along with IPC 504 (intentional insult)?
336,Offences Affecting the Human Body – Of Hurt,I drove recklessly through a crowded area—what IPC applies?,Can bursting crackers in narrow lanes attract IPC 336?,"I fired an airgun as a joke, but it scared people—legal issue?",Is throwing objects from buildings punishable under IPC 336?,What counts as negligent acts endangering public safety?,Can IPC 336 be used in school lab accidents?,I left construction tools in public area—can this be a crime?,Will IPC 336 apply to careless swimming pool owners?,Can it be used against people who block ambulance paths?,Is it punishable to scare someone while driving fast?
337,Offences Affecting the Human Body – Of Hurt,I injured a bystander while driving carelessly—what IPC applies?,My kite string hurt someone on the road—am I responsible?,A restaurant's loose fixture hurt a guest—can IPC 337 apply?,Is there jail for accidental injuries caused to others?,Does IPC 337 apply to shopkeepers leaving wires open?,My cycle hit someone due to my carelessness—legal consequences?,What’s the punishment if the hurt is minor but due to negligence?,Can this IPC be used in personal injury claims?,"I forgot to secure scaffolding, and it fell—will I be punished?",A child got hurt by our drone—will IPC 337 apply?
338,Offences Affecting the Human Body – Of Hurt,A patient suffered serious injury due to hospital negligence—legal IPC?,I drove on wrong side and caused severe injuries—what law applies?,A man fell from my broken stairs and fractured his leg—am I liable?,A school trip turned into accident due to bus overload—IPC involved?,Can IPC 338 apply to careless doctors?,"I didn’t fence a hole on road, and a person got injured—what IPC?",What’s the difference between IPC 337 and 338?,Can this IPC be used in factory safety cases?,I forgot to shut machine guard and worker was injured—can they sue?,What is the max jail term under IPC 338?
339,Wrongful Restraint & Wrongful Confinement,My neighbor blocked my car—what IPC applies?,Can standing in someone's way be called wrongful restraint?,Is obstruction on a public footpath a criminal offence?,Someone stopped me from entering my house—is that restraint?,Can IPC 339 be applied during protests blocking roads?,Does IPC 339 need intention or just the act?,What does wrongful restraint mean legally?,I was not allowed to leave a mall due to confusion—is it restraint?,Is parking in front of someone’s gate a crime?,Will IPC 339 apply to a guard denying exit without reason?
340,Wrongful Restraint & Wrongful Confinement,I was locked in a room by my boss—what IPC applies?,What's the difference between wrongful restraint and confinement?,Can forcibly holding someone inside a building be confinement?,Is blocking all exits in a room a punishable act?,Is IPC 340 applicable for domestic abuse involving locking in rooms?,I was trapped in my room by someone—is that confinement?,What if someone confines another as a prank?,Can security guards confining people be sued under IPC 340?,Is preventing someone from calling help confinement?,Can police be booked under IPC 340 for illegal detention?
341,Wrongful Restraint & Wrongful Confinement,I was prevented from walking on a public road—what law applies?,What is the jail term for wrongful restraint?,Can IPC 341 be used if I was stopped forcefully during a protest?,Is wrongful restraint a bailable offence?,How much is the fine under IPC 341?,Will IPC 341 apply in school bullying cases?,What does “obstruct lawful movement” mean?,Can roadblocks by civilians attract IPC 341?,I was not allowed to leave an event—legal action?,Is IPC 341 a cognizable offence?
342,Wrongful Restraint & Wrongful Confinement,I was kept locked inside a room for 2 hours—what IPC applies?,Can wrongful confinement lead to arrest?,Is wrongful confinement punishable even for short periods?,How severe is punishment under IPC 342?,Can IPC 342 be used if a boss locks staff during working hours?,Is wrongful confinement a cognizable crime?,Does confining someone during robbery attract IPC 342 too?,What is the punishment for keeping someone tied up?,Can IPC 342 apply to child confinement by parents?,Will IPC 342 apply in human trafficking cases?
