Scheme Name,Category,Description,Apply Link,Min Age,Max Age,Gender,Caste,Income Max (Annual),Occupation,Disability Required,Marital Status,Religion,State,Education Required,Minority Status,For Orphans,Eligibility Summary
Scheme for Promoting Energy Efficiency activities in different sectors of Indian Economy,Energy Efficiency Promotion,"Implements energy-saving measures via BEE in appliances, buildings, industries, and agriculture.",https://myschemes.gov.in,None,None,Any,Any,null,"SDA, Municipality, Industry, Public Utility",No,Any,Any,Central,None,No,No,"BEE-approved agencies, SDAs, and entities deploying energy efficiency programs under NMEEE."
Energy Efficiency Financing Facility – ADEETIE,Energy Efficiency Financing,"Provides loans, audits, and DPR support to promote adoption of energy-efficient tech in industries and MSMEs",https://myschemes.gov.in,None,None,Any,Any,null,"MSMEs, Industrial Establishments",No,Any,Any,Central,None,No,No,MSMEs and industries adopting energy-efficient technologies under ADEETIE guidelines
Transfer to Central Road and Infrastructure Fund,Infrastructure Fund Transfer,Railways' financial contribution to national infrastructure development through CRIF,Not applicable – internal fund transfer; not a public scheme.,None,None,Any,-,-,Not Applicable,-,-,-,Central,-,-,-,Internal fund transfer mechanism by MoR; not for public or institutional application
Transfer to National Investment Fund,Investment & Disinvestment Fund,Fund used for capital creation and PSU recapitalization using disinvestment proceeds,Not applicable – internal fund transfer; not a public scheme.,None,None,Any,-,-,Not Applicable,-,-,-,Central,-,-,-,Internal capital fund maintained by GoI; no direct eligibility
New Lines,Railway Infrastructure Expansion,Supports building new railway lines in areas of connectivity need,https://myschemes.gov.in,None,None,Any,Any,null,"State Government, Railway Board",No,Any,Any,Central,None,No,No,Proposed by states; approved and implemented by Ministry of Railways and Railway Board
Gauge Conversion,Railway Infrastructure Modernization,Converts meter and narrow gauge railway lines to broad gauge based on traffic viability,https://myschemes.gov.in,None,None,Any,Any,null,"Indian Railways, Zonal Divisions",No,Any,Any,Central,None,No,No,Executed by zonal railways; eligibility based on strategic need and traffic volume
Computerisation,Ministry of Railways,"Development and deployment of IT systems for operations, HR, accounting, and logistics",Not applicable – internal project or budget line of Indian Railways; no public eligibility.,None,None,Any,-,-,CRIS (internal use only),-,-,-,Central,-,-,-,Project for internal IT modernization; not open for public application
Traffic Facilities - Yard Remodelling and Others,Ministry of Railways,"Infrastructure works for yard expansion, train movement optimization, and throughput improvement",Not applicable – internal project or budget line of Indian Railways; no public eligibility.,None,None,Any,-,-,Internal Planning Division,-,-,-,Central,-,-,-,Executed by Indian Railways for operational efficiency; not a public-facing scheme
Railway Research,Ministry of Railways,"Research on rail safety, infrastructure, rolling stock, and signaling with collaboration from institutes",Not applicable – internal project or budget line of Indian Railways; no public eligibility.,None,None,Any,-,-,"RDSO, NAIR, IITs, Research Institutions",-,-,-,Central,-,-,-,Open only to research bodies and technical institutions collaborating with Railways
Rolling Stock,Ministry of Railways,"Procures and modernizes rolling assets like coaches, wagons, and engines",Not applicable – internal project or budget line of Indian Railways; no public eligibility.,None,None,Any,-,-,"Indian Railways, Production Units",-,-,-,Central,-,-,-,Internal procurement program managed by production units; no external application
Leased assets - Payment of Capital Component,Ministry of Railways,Payment of principal component of leased railway equipment assets,Not applicable – internal project or budget line of Indian Railways; no public eligibility.,None,None,Any,-,-,Indian Railways,-,-,-,Central,-,-,-,Internal fund usage; not open to individuals or institutions
Road Safety Works - Road Over/Under Bridges,Ministry of Railways,Constructing ROBs and RUBs to replace crossings,Not applicable – internal project or budget line of Indian Railways; no public eligibility.,None,None,Any,-,-,Joint with State Govts,-,-,-,Central,-,-,-,Joint projects with state governments to enhance rail-road crossing safety
Track Renewals,Ministry of Railways,Replacing worn tracks for safety and efficiency,Not applicable – internal project or budget line of Indian Railways; no public eligibility.,None,None,Any,-,-,Indian Railways Zones,-,-,-,Central,-,-,-,Zone-wise based on track life and safety inspections
"Bridge Works, Tunnel Works and Approaches",Ministry of Railways,New construction and maintenance of railway bridges and tunnels,Not applicable – internal project or budget line of Indian Railways; no public eligibility.,None,None,Any,-,-,Project Implementers,-,-,-,Central,-,-,-,Centrally sanctioned infrastructure projects across Indian Railways
Signalling and Telecom,Ministry of Railways,"Modernization of interlocking, CTC, train protection systems",Not applicable – internal project or budget line of Indian Railways; no public eligibility.,None,None,Any,-,-,Zonal Railways,-,-,-,Central,-,-,-,Implemented zone-wise for safety and efficiency in train operations
Electrification Projects,Ministry of Railways,Railway electrification to reduce diesel use and improve efficiency,Not applicable – internal project or budget line of Indian Railways; no public eligibility.,None,None,Any,-,-,Prioritized High-Traffic Zones,-,-,-,Central,-,-,-,Electrification of busy routes under Indian Railways' green energy mission
Machinery and Plant,Ministry of Railways,Procurement/maintenance of plant and equipment for workshops,Not applicable – internal project or budget line of Indian Railways; no public eligibility.,None,None,Any,-,-,Railways & PSU Factories,-,-,-,Central,-,-,-,Internal procurement and maintenance of heavy machinery for workshops
Workshop Including Production Units,Ministry of Railways,"Expenditure for manufacturing units, maintenance shops",Not applicable – internal project or budget line of Indian Railways; no public eligibility.,None,None,Any,-,-,Internal Production Centers,-,-,-,Central,-,-,-,For Indian Railways production units and maintenance workshops
Staff Welfare,Ministry of Railways,"Housing, healthcare, education, welfare of railway employees",Not applicable – internal project or budget line of Indian Railways; no public eligibility.,None,None,Any,-,-,Railway Employees,-,-,-,Central,-,-,-,Meant for the welfare of railway staff and their dependents
Customer Amenities,Ministry of Railways,"Station cleanliness, lounges, lighting, digital boards",Not applicable – internal project or budget line of Indian Railways; no public eligibility.,None,None,Any,-,-,Zonal Railways,-,-,-,Central,-,-,-,Implemented at stations to enhance passenger experience
Investment in PSU/JV/SPV etc.,Ministry of Railways,Equity support to railway-linked companies,Not applicable – internal project or budget line of Indian Railways; no public eligibility.,None,None,Any,-,-,Registered PSU/JV/SPV,-,-,-,Central,-,-,-,Financial investment in public/private partnerships under Railway supervision
Other Specified Works,Ministry of Railways,Miscellaneous sanctioned infrastructure works,Not applicable – internal project or budget line of Indian Railways; no public eligibility.,None,None,Any,-,-,Internal (Railways Only),-,-,-,Central,-,-,-,Infrastructure works approved by Railway Board on a case-by-case basis
Training/Human Resource Development,Ministry of Railways,"Training railway personnel, capacity building, reskilling",Not applicable – internal project or budget line of Indian Railways; no public eligibility.,None,None,Any,-,-,Existing & New Railway Staff,-,-,-,Central,-,-,-,Capacity development programs for skill and service enhancement
Stores Suspense,Ministry of Railways,Interim accounting for inventory-related transactions,Not applicable – internal project or budget line of Indian Railways; no public eligibility.,None,None,Any,-,-,Railways Inventory Dept.,-,-,-,Central,-,-,-,"Internal accounting mechanism, not open for public participation"
Manufacturing Suspense,Ministry of Railways,Budget line for in-process manufacturing costs,Not applicable – internal project or budget line of Indian Railways; no public eligibility.,None,None,Any,-,-,Internal Production Units,-,-,-,Central,-,-,-,Internal cost tracking mechanism during production cycles
Miscellaneous Advances,Ministry of Railways,"Advances to staff, contractors, suppliers",Not applicable – internal project or budget line of Indian Railways; no public eligibility.,None,None,Any,-,-,Railway Employees & Vendors,-,-,-,Central,-,-,-,Financial advances for official expenditure; governed by Railway financial rules
Metropolitan Transportation Projects,Ministry of Railways,Funding metro rail and suburban systems in major cities,Not applicable – internal project or budget line of Indian Railways; no public eligibility.,None,None,Any,-,-,Metro Rail Agencies (Govt.),-,-,-,Central,-,-,-,Funds provided to central/state metro corporations for urban rail infrastructure
Transfer to Rashtriya Rail Sanraksha Kosh,Ministry of Railways,Dedicated safety fund for critical rail infrastructure,Not applicable – internal project or budget line of Indian Railways; no public eligibility.,None,None,Any,-,-,Internal Use Only,-,-,-,Central,-,-,-,Corpus managed centrally for ensuring railway safety; not a public scheme
Transfer to Railway Safety Fund,Ministry of Railways,Budget allocation for renewals and accident prevention,Not applicable – internal project or budget line of Indian Railways; no public eligibility.,None,None,Any,-,-,Indian Railways (Safety Division),-,-,-,Central,-,-,-,Internal fund for track and bridge rehab; not externally accessible
Sovereign Green Fund,Ministry of Railways,Investment vehicle for sustainable and green railway initiatives,Not applicable – internal project or budget line of Indian Railways; no public eligibility.,None,None,Any,-,-,Rail Projects (Green-Compliant),-,-,-,Central,-,-,-,Project-based investment fund to support low-emission railway development
Amount met from,Ministry of Railways,Accounting entry used to reconcile fund allocations and adjustments,Not applicable – internal project or budget line of Indian Railways; no public eligibility.,None,None,Any,-,-,Not applicable,-,-,-,Central,-,-,-,"Placeholder budgetary head, not a real scheme or funding initiative"
National Highways Authority of India (NHAI),Ministry of Road Transport and Highways,"Central agency responsible for development, maintenance, and management of National Highways (NHs)",https://www.myschemes.gov.in/,18,None,Any,Any,null,"[""Government Contractor"", ""Civil Engineer"", ""Construction Firm""]",Any,Any,Any,Central,Graduate+,Any,Any,For contractors or firms involved in NH development
Road Works,Ministry of Road Transport and Highways,"Construction, widening, maintenance, and upgradation of national highways and rural roads",https://www.myschemes.gov.in/,18,None,Any,Any,null,"[""PWD"", ""Construction Contractor"", ""Civil Engineer""]",Any,Any,Any,Central,Graduate+,Any,Any,"Open to state agencies, contractors, engineers"
"Research, Training, Studies and Other Road Safety Schemes",Ministry of Road Transport and Highways,"Funds for R&D, training of engineers, awareness campaigns, and tech studies to improve road safety",https://www.myschemes.gov.in/,18,None,Any,Any,null,"[""Researcher"", ""NGO"", ""Road Safety Officer"", ""Technical Institution""]",Any,Any,Any,Central,Graduate+,Any,Any,"Institutions/NGOs working in road safety, training"
Actual Recoveries,Ministry of Road Transport and Highways,"Internal accounting head showing recoveries (refunds, unused advances, etc.) from implementing agencies",Not a scheme – internal accounting entry for fund recoveries.,None,None,Any,NA,null,[],NA,NA,NA,Central,NA,Any,Any,Not a scheme; accounting entry only
Management Support to Rural Development Programs and Strengthening of District Planning Process,Ministry of Rural Development,"Supports implementation, monitoring, capacity building, and decentralized planning for rural development programs",https://www.myschemes.gov.in/,18,None,Any,Any,null,"[""District Planner"", ""Panchayati Raj Officer"", ""Govt Employee""]",Any,Any,Any,Central,Graduate+,Any,Any,Govt functionaries involved in rural development
Grants to National Institute of Rural Development (NIRDPR),Ministry of Rural Development,"Financial support to NIRDPR for training, policy research, and rural development innovations",https://www.myschemes.gov.in/,21,None,Any,Any,null,"[""Trainer"", ""Rural Planner"", ""Policy Researcher"", ""Govt Official""]",Any,Any,Any,Central,Graduate+,Any,Any,"For trainers, officials, and policy researchers involved in rural development"
Land Records Modernization Programme (Digital India Land Records Modernization Programme – DILRMP),Department of Land Resources,"Aims to digitize land records, integrate registration and revenue systems, and improve access to land data",https://www.myschemes.gov.in/,18,None,Any,Any,null,"[""Farmer"", ""Citizen"", ""Land Owner"", ""Revenue Officer""]",Any,Any,Any,Central,10th Pass,Any,Any,Citizens and landholders benefiting from digitized land records
