BNS Section,Category,Query1,Query2,Query3,Query4,Query5,Query6,Query7,Query8,Query9,Query10
339,Belonging to gang of dacoits,That man always roams with robbers.,He helps the dacoity gang escape.,Newcomer seen with known gang.,He was carrying stolen items for gang.,He hides looted things.,He trains new members.,He was present during loot.,Police say he is regular member.,He supplies weapons to gang.,He shares robbery money.
340,Belonging to gang of thieves,He roams with known thieves.,We saw him sharing stolen items.,He stays where robbers meet.,Caught giving directions to gang.,Always present during thefts.,He gets stolen cows.,He helps escape routes.,He takes money from loot.,Children say he guides them.,He’s been jailed before for same.
341(1),Habitual dealing in stolen property,He buys looted items regularly.,Every week he gets suspicious goods.,Shop sells only second-hand stolen phones.,Found my stolen radio at his place.,Villagers say he’s receiver of theft goods.,Cattle stolen was sold to him.,He buys tools after every robbery.,Police found many stolen cycles.,He offers high price for stolen stuff.,He takes looted grains from fields.
341(2),Assisting in concealment of stolen property,He hides stolen items in his barn.,Found jewellery in his locked box.,He was seen burying looted goods.,My watch was found at his house.,He allows storage of stolen grain.,He covers tracks of robbers.,His house is store for stolen phones.,He hides cycles after theft.,He told others where to hide stolen stuff.,Police recovered things from his room.
341(3),Theft after preparation to hurt or restrain,They tied me and then looted.,I was pushed and injured during robbery.,Robbers came with chilli powder.,Robbers used knife before taking cash.,They poured kerosene and threatened.,My hands were tied and phone taken.,They carried chain and beat me.,One held gun while others looted.,I was gagged and looted.,I had injuries after they ran.
341(4),"Theft in house, shop, sacred place","Temple lock was broken, items stolen.",Shop looted at night.,House was empty when theft happened.,Almirah lock broken in my absence.,My grain store was looted.,They stole from donation box.,Jewellery stolen from home.,Shop door was broken.,Village god’s idol was taken.,My ration was stolen at night.
342(1),Misappropriation of property entrusted,"I gave him ₹5000 to keep, he never returned.","He was to give money to my son, but used it.","I asked him to deposit land money, he didn’t.",He kept my tools but sold them.,I trusted him with cattle and now it’s gone.,"He was to distribute grains to poor, but sold it.",My money was taken saying it’ll be kept safe.,"I asked for loan money back, he denied it.","NGO gave him money, but it disappeared.","I gave clothes for charity, he sold them."
342(2),Misuse of public funds,Panchayat head used funds for personal use.,School grant was used to buy his bike.,Money for handpump gone in his pocket.,Funds for women’s scheme misused.,Gram sevak used cement money to build own room.,He signed in name of others and took money.,He created fake bills for streetlight.,Widow pension was taken by sarpanch.,He faked children count for more funds.,MGNREGA funds were not paid.
343,Cheating,He sold fake seeds saying they are good.,"I gave money for job, but no job given.",Man promised cow but gave weak calf.,He made fake documents for land.,I was tricked into signing property.,"He said he’ll build toilet, took money, vanished.","Paid for machine, never got it.",He gave fake gold and took cash.,Girl was married saying he is rich.,"I gave rent advance, he ran away."
344,Cheating with knowledge of causing damage,He took advance and never came back.,"I was told shop is legal, but it’s not.",He lied about loan and took my land.,I bought a phone that doesn’t work.,He gave cow with disease knowingly.,He tricked me into a false contract.,"He promised employment, took documents.",He sold same plot to 3 people.,His false promise ruined my savings.,"I gave him wheat to sell, he sold and denied."
345(3),"Forgery for valuable security, will, etc.",He made a fake will and claimed my land.,My uncle forged papers to steal my pension.,Someone made duplicate land registry with my name.,He created fake bank cheque to withdraw money.,I found forged power of attorney document.,My name was misused on legal stamp paper.,The loan was taken using fake identity.,He created false fixed deposit papers.,Fake agreement was shown in court.,He printed forged voter ID to get benefits.
346,Possession of forged documents,He was caught with multiple fake land papers.,I found fake Aadhaar cards in his drawer.,Police recovered forged school certificates.,He was carrying multiple forged cheques.,Fake property documents were in his bag.,I saw him distributing fake IDs to others.,He had a bundle of fake ration cards.,Stolen stamps and papers were found.,He showed fake police clearance certificate.,He kept fake birth certificates in trunk.
347(1),Forgery for cheating,He tricked me with fake property papers.,I was sold land using forged documents.,He gave fake school marksheet to get job.,He used forged ration card to get subsidy.,My brother was cheated by fake passport.,He opened bank account using fake ID.,He gave fake insurance bond.,Shopkeeper gave me fake bill with wrong GST.,Girl married man who showed fake income proof.,Police found fake farmer certificate used for loan.
347(2),Forgery for harming reputation,He circulated fake letter claiming I took bribe.,Someone made a document saying I insulted community.,They forged my signature in resignation letter.,Fake Facebook post in my name blamed me.,False complaint was filed using forged document.,School got forged transfer certificate about me.,Fake death certificate of my father was made.,He wrote false letter in my name to sarpanch.,My photo was used in fake legal document.,Neighbor spread forged property dispute letter.
348,Making or possessing counterfeit seals,He had fake government stamp with him.,I saw him use duplicate notary seal.,Police caught him with fake office seals.,He printed his own rubber stamp of Panchayat.,He stamped fake certificate with education seal.,His bag had stamp of police department.,He used court seal for fake document.,He had printer with fake emblems.,Ration shop had fake inspection seal.,Stamp pad matched with fake registry papers.
